,close,returns,vol,vol_lag_1,vol_lag_2,vol_lag_3,vol_lag_5,vol_lag_10,vol_lag_20,return_lag_1,return_lag_2,return_lag_3,return_lag_5,vol_roll_mean_5,vol_roll_std_5,vol_roll_mean_10,vol_roll_std_10,vol_roll_mean_20,vol_roll_std_20,vol_roll_mean_60,vol_roll_std_60,rsi_14,volume_zscore,day_of_week,month,quarter,week_of_month,target
2019-07-09,1792.055419921875,-0.0193294173358939,0.170634497354615,0.1638813170024309,0.1835340906764775,0.1299752678104758,0.1494989372813582,0.1839822094678798,0.231778264436017,0.0056863734893251,-0.035471602261568,0.0022348004249574,0.0056038018280455,0.1522371809979647,0.022022991998764868,0.16637640651819932,0.02173588598049968,0.1860953547492155,0.02831271574163624,0.23398757797785205,0.045175308865657876,35.78283561246232,1.9891221828717771,1,7,3,2,0.1718827800748752
2019-07-10,1770.9283447265625,-0.0117892978980714,0.1718827800748752,0.170634497354615,0.1638813170024309,0.1835340906764775,0.1342962922190812,0.1877416145830834,0.2188529742953731,-0.0193294173358939,0.0056863734893251,-0.035471602261568,-0.0064165712491898,0.15646429301261605,0.02335417305784842,0.16504163530687282,0.02092948359616132,0.18303816639514542,0.026353636962571952,0.23321559289096822,0.04586187852026852,28.791787927864334,4.378827486225238,2,7,3,2,0.171897481612255
2019-07-11,1766.1820068359375,-0.0026801411275383,0.171897481612255,0.1718827800748752,0.170634497354615,0.1638813170024309,0.1299752678104758,0.1834109817027377,0.2202123736821792,-0.0117892978980714,-0.0193294173358939,0.0056863734893251,0.0022348004249574,0.16398159058377487,0.020281951749670627,0.163455751856052,0.019575357217737864,0.18068965668412054,0.0250548888639517,0.232153476862116,0.04653842930609869,22.213278108186728,-0.10273905864119812,3,7,3,2,0.1726941132197381
2019-07-12,1770.4246826171875,0.002402173595263,0.1726941132197381,0.171897481612255,0.1718827800748752,0.170634497354615,0.1835340906764775,0.1823205808739207,0.2204821024914255,-0.0026801411275383,-0.0117892978980714,-0.0193294173358939,-0.035471602261568,0.17236603334413073,0.007074023029868216,0.16230440184700373,0.018584781786384407,0.17827391208062432,0.02331223126839749,0.2310397778087233,0.04717384949430605,23.975307348744224,-0.7295419239389412,4,7,3,2,0.1886770385602457
2019-07-15,1802.428955078125,0.0180771725423676,0.1886770385602457,0.1726941132197381,0.171897481612255,0.1718827800748752,0.1638813170024309,0.1651227735645479,0.2185050150468174,0.002402173595263,-0.0026801411275383,-0.0117892978980714,0.0056863734893251,0.1701980378527828,0.003607225973032945,0.1613417550815855,0.01765905124558937,0.17588451261703994,0.021102707021606836,0.2299540527610721,0.0477607438492547,18.00743749705802,0.34524570333699023,0,7,3,3,0.1945749361885816
2019-07-16,1773.212646484375,-0.0162094092593423,0.1945749361885816,0.1886770385602457,0.1726941132197381,0.171897481612255,0.170634497354615,0.1494989372813582,0.2066771881410742,0.0180771725423676,0.002402173595263,-0.0026801411275383,-0.0193294173358939,0.17515718216434578,0.007593669406365726,0.16369718158115526,0.01967519617349785,0.17439311379271136,0.01886770662538798,0.22823442059348378,0.047349918289482214,29.14978832801468,0.16386193910973773,1,7,3,3,0.1952742931274047
2019-07-17,1782.6844482421875,0.0053416051236672,0.1952742931274047,0.1945749361885816,0.1886770385602457,0.1726941132197381,0.1718827800748752,0.1342962922190812,0.1942760484569656,-0.0162094092593423,0.0180771725423676,0.002402173595263,-0.0117892978980714,0.17994526993113913,0.010869922163448033,0.16820478147187762,0.021167798187188693,0.17378800119508672,0.017949546228400483,0.22681563870898383,0.04705607169419752,27.183465785207247,-0.6109424190989354,2,7,3,3,0.2043621316858945
2019-07-18,1739.4910888671875,-0.0242293914762036,0.2043621316858945,0.1952742931274047,0.1945749361885816,0.1886770385602457,0.171897481612255,0.1299752678104758,0.1836941606563996,0.0053416051236672,-0.0162094092593423,0.0180771725423676,-0.0026801411275383,0.18462357254164502,0.011545166350573228,0.17430258156270995,0.01898485442903866,0.1738379134286087,0.01801079913198123,0.22544483370003346,0.046750885776429975,29.859221339081273,0.3944346539716227,3,7,3,3,0.2051968725747215
2019-07-19,1748.75244140625,0.0053241736036104,0.2051968725747215,0.2043621316858945,0.1952742931274047,0.1945749361885816,0.1726941132197381,0.1835340906764775,0.1824400430517846,-0.0242293914762036,0.0053416051236672,-0.0162094092593423,0.002402173595263,0.19111650255637294,0.011726360156894305,0.18174126795025183,0.013454233272771364,0.17487131198008343,0.019162206308468946,0.2242283675218399,0.0463250508688228,27.633180013065783,-0.5338426851031336,4,7,3,3,0.2101335940690631
2019-07-22,1776.49560546875,0.0158645462934654,0.2101335940690631,0.2051968725747215,0.2043621316858945,0.1952742931274047,0.1886770385602457,0.1638813170024309,0.1812248595442812,0.0053241736036104,-0.0242293914762036,0.0053416051236672,0.0180771725423676,0.1976170544273696,0.007028808717738979,0.1839075461400762,0.01538098067830677,0.17600915345623028,0.020278421422529985,0.2230305906967529,0.04586257627498194,27.357831377069147,-0.494507816075801,0,7,3,4,0.2108189973436418
